sku,description,unit_price,stock_quantity,category,supplier,image_url,weight_lbs,dimensions
FB-SCR-001,"Phillips Head Screws 1/4 inch - Pack of 100",12.99,450,Hardware,Acme Hardware,https://example.com/images/phillips_screws_quarter.jpg,0.8,"2x2x4"
FB-SCR-002,"Flathead Screws 3/8 inch - Pack of 50",15.75,320,Hardware,Acme Hardware,https://example.com/images/flathead_screws_3_8.jpg,1.2,"2x2x3"
FB-NUT-001,"Hex Nuts M6 - Pack of 200",8.45,680,Hardware,Bolt Supply Co,https://example.com/images/hex_nuts_m6.jpg,2.1,"3x3x2"
FB-WSH-001,"Flat Washers 1/4 inch - Pack of 500",6.99,890,Hardware,Washer World,https://example.com/images/flat_washers_quarter.jpg,1.5,"4x4x1"
FB-BLT-001,"Carriage Bolts 1/2 x 3 inch - Pack of 25",22.80,180,Hardware,Bolt Supply Co,https://example.com/images/carriage_bolts_half_3.jpg,3.2,"6x2x1"
FB-DRL-001,"HSS Drill Bit Set 1/8 to 1/2 inch - 29 Piece",45.99,85,Tools,DrillMaster Tools,https://example.com/images/hss_drill_bit_set.jpg,2.8,"8x4x2"
FB-HAM-001,"Claw Hammer 16oz Fiberglass Handle",18.50,125,Tools,Hammer Co,https://example.com/images/claw_hammer_16oz.jpg,1.1,"12x5x1"
FB-WRN-001,"Adjustable Wrench 10 inch Chrome Finish",24.99,95,Tools,Wrench Works,https://example.com/images/adjustable_wrench_10.jpg,0.9,"10x2x1"
FB-SAW-001,"Hand Saw 20 inch Hardened Steel Blade",35.75,45,Tools,Cut Right Saws,https://example.com/images/hand_saw_20.jpg,1.8,"20x4x1"
FB-LEV-001,"Spirit Level 24 inch Aluminum Body",28.99,78,Tools,Level Best,https://example.com/images/spirit_level_24.jpg,1.4,"24x3x2"
FB-PLR-001,"Needle Nose Pliers 6 inch Cushion Grip",14.25,210,Tools,Grip Tools,https://example.com/images/needle_nose_pliers_6.jpg,0.4,"7x2x1"
FB-TAP-001,"Measuring Tape 25ft Heavy Duty Case",19.99,165,Tools,Measure Right,https://example.com/images/measuring_tape_25ft.jpg,0.8,"4x4x1"
FB-CHI-001,"Wood Chisel Set 1/4 to 1 inch - 4 Piece",32.50,55,Tools,Sharp Edge Tools,https://example.com/images/wood_chisel_set.jpg,1.2,"8x4x1"
FB-SND-001,"Sandpaper Assortment 80-220 Grit - 50 Sheets",16.80,340,Materials,Sand Smooth Co,https://example.com/images/sandpaper_assortment.jpg,2.5,"9x11x2"
FB-GLU-001,"Wood Glue Premium Bond 16oz Bottle",8.99,275,Materials,Stick Together Inc,https://example.com/images/wood_glue_16oz.jpg,1.1,"3x3x8"
